Data incidente,Latitudine,Longitudine,Centro abitato,Tipo di strada,Caratteristiche della strada,Stato fondo stradale,Tipo pavimentazione,Condizioni meteo,Condizioni traffico,Danni a cose,Incidente con lesioni,Inviata ore,Sul posto ore
01/01/2023,41.0812,16.89861,si,Provinciale entro l'abitato,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,no,04:25,04:30
01/01/2023,41.12404,16.87583,si,Strada Urbana,Intersezione stradale segnalata,Asciutto,Asfaltata,Sereno,Intenso,no,no,12:04,12:12
01/01/2023,41.09223,16.87005,si,Strada Urbana,Incrocio,Bagnato (umidita' in atto),Asfaltata,Sereno,Normale,no,si,19:15,19:25
02/01/2023,41.12055,16.85524,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,no,01:00,01:10
02/01/2023,41.11258,16.87394,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,09:45,09:50
02/01/2023,41.09476,16.85401,si,Strada Urbana,Intersezione stradale segnalata,Asciutto,Asfaltata,Sereno,Normale,no,si,10:45,10:55
02/01/2023,41.11696,16.86923,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Intenso,no,si,12:10,12:15
02/01/2023,41.09172,16.8929,si,Strada Urbana,Rotatoria,Bagnato (umidita' in atto),Asfaltata,Sereno,Normale,no,no,18:44,18:50
02/01/2023,41.11559,16.87839,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,no,19:10,19:20
02/01/2023,41.12237,16.86321,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,si,18:50,19:10
02/01/2023,41.14516,16.7667,si,Statale entro l'abitato,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,19:15,19:35
02/01/2023,41.15122,16.75976,si,Strada Urbana,Incrocio,Bagnato (umidita' in atto),Asfaltata,Foschia,Scarso,no,no,21:20,21:40
02/01/2023,41.11132,16.85316,si,Strada Urbana,Rettilineo,Bagnato (umidita' in atto),Asfaltata,Foschia,Normale,no,si,21:50,22:05
02/01/2023,41.12591,16.87237,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Intenso,no,si,22:00,22:10
03/01/2023,41.10278,16.87358,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,no,01:40,01:45
03/01/2023,41.10559,16.87181,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Nuvoloso,Normale,no,no,10:00,10:10
03/01/2023,41.12441,16.85493,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,16:10,16:20
03/01/2023,41.10715,16.87422,si,Strada Urbana,Intersezione semaforizzata,Asciutto,Asfaltata,Sereno,Normale,no,no,18:00,18:20
04/01/2023,41.09012,16.85771,no,Statale,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,si,no,10:00,10:15
04/01/2023,41.10403,16.8596,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Intenso,no,si,10:19,10:35
04/01/2023,41.0998,16.85643,si,Strada Urbana,Rettilineo,Asciutto,Strada pavimentata dissestata,Sereno,Intenso,no,no,11:20,11:40
04/01/2023,41.09967,16.88564,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,14:30,14:45
04/01/2023,41.12862,16.86379,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,13:55,14:05
04/01/2023,41.13073,16.83783,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,14:10,14:15
04/01/2023,41.1279,16.80565,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,14:22,14:25
