geometry,latitude,longitude,cod_evento,circoscriz,data_event,causa,tipologia,civico_eve,cod_via,denominazi,x,y
"{""type"":""Point"",""coordinates"":[655122.148,4554319.401]}",4554319.401,655122.148,3,1,02/01/2017,altro - arredo urbano,caduta pedone,,720010412,VIA TOMMASO FIORE,655122.148,4554319.401
"{""type"":""Point"",""coordinates"":[655122.148,4554319.401]}",4554319.401,655122.148,4,1,03/06/2017,dissesto manto stradale,caduta pedone,,720010412,VIA TOMMASO FIORE,655122.148,4554319.401
"{""type"":""Point"",""coordinates"":[655122.148,4554319.401]}",4554319.401,655122.148,5,1,14/06/2017,altro - vetri,caduta pedone,,720010412,VIA TOMMASO FIORE,655122.148,4554319.401
"{""type"":""Point"",""coordinates"":[655122.148,4554319.401]}",4554319.401,655122.148,6,1,20/09/2017,dissesto manto stradale,caduta pedone,,720010412,VIA TOMMASO FIORE,655122.148,4554319.401
"{""type"":""Point"",""coordinates"":[655122.148,4554319.401]}",4554319.401,655122.148,7,1,10/11/2017,dissesto manto stradale,caduta pedone,,720010412,VIA TOMMASO FIORE,655122.148,4554319.401
"{""type"":""Point"",""coordinates"":[657107.745,4551244.2]}",4551244.2,657107.745,8,2,02/04/2017,dissesto marciapiede,caduta pedone,411/D,720012182,CORSO ALCIDE DE GASPERI,657107.745,4551244.2
"{""type"":""Point"",""coordinates"":[657196.063,4551342.52]}",4551342.52,657196.063,9,2,17/09/2017,dissesto manto stradale,caduta pedone,294/A,720012182,CORSO ALCIDE DE GASPERI,657196.063,4551342.52
"{""type"":""Point"",""coordinates"":[657154.895,4552112.931]}",4552112.931,657154.895,10,2,15/05/2017,dissesto manto stradale,caduta con ciclomotore,327/A,720012182,CORSO ALCIDE DE GASPERI,657154.895,4552112.931
"{""type"":""Point"",""coordinates"":[657154.895,4552112.931]}",4552112.931,657154.895,11,2,15/05/2017,dissesto manto stradale,caduta con ciclomotore,327/A,720012182,CORSO ALCIDE DE GASPERI,657154.895,4552112.931
"{""type"":""Point"",""coordinates"":[656893.001,4555156.234]}",4555156.234,656893.001,12,1,27/01/2017,dissesto manto stradale,danni auto,,700022746,CORSO ANTONIO DE TULLIO,656893.001,4555156.234
